"","months_loan_duration","amount","installment_rate","age","default","checking_balance_.0DM","checking_balance__200DM","checking_balance_1.200DM","credit_history_critical","credit_history_fullyrepaid","credit_history_fullyrepaidthisbank","purpose_business","purpose_car.new.","purpose_education","purpose_furniture","purpose_radio.tv","purpose_repairs","savings_balance_.100DM","savings_balance_101.500DM","employment_length_4.7yrs","personal_status_divorcedmale","personal_status_female","other_debtors_guarantor","installment_plan_none","housing_own","telephone_none","foreign_worker_no"
"1",0.0294117647058824,0.0505667436997909,1,0.857142857142857,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"2",0.647058823529412,0.31368988665126,0.333333333333333,0.0535714285714286,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0
"3",0.117647058823529,0.101573676680973,0.333333333333333,0.535714285714286,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0
"4",0.558823529411765,0.419940574447012,0.333333333333333,0.464285714285714,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0
"5",0.294117647058824,0.254209310003301,0.666666666666667,0.607142857142857,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"6",0.470588235294118,0.484483327830967,0.333333333333333,0.285714285714286,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"7",0.294117647058824,0.142236161549466,0.666666666666667,0.607142857142857,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
"8",0.470588235294118,0.368548475844613,0.333333333333333,0.285714285714286,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"9",0.117647058823529,0.154561461428414,0.333333333333333,0.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0
"10",0.382352941176471,0.274237922306592,1,0.160714285714286,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0
"11",0.117647058823529,0.0574997248816991,0.666666666666667,0.107142857142857,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"12",0.647058823529412,0.223286012985584,0.666666666666667,0.0892857142857143,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"13",0.117647058823529,0.0724661604489931,0,0.0535714285714286,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0
"14",0.294117647058824,0.0522174535050072,1,0.732142857142857,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0
"15",0.161764705882353,0.0634422801804776,0.333333333333333,0.160714285714286,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"16",0.294117647058824,0.0567844172994388,1,0.232142857142857,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0
"17",0.294117647058824,0.119621437218004,1,0.607142857142857,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
"18",0.382352941176471,0.430395069880048,0.333333333333333,0.107142857142857,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"19",0.294117647058824,0.678386706283702,1,0.446428571428571,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"20",0.294117647058824,0.174975239352922,0.666666666666667,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"21",0.0735294117647059,0.10366457576758,1,0.517857142857143,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"22",0.0294117647058824,0.131891713436778,0.333333333333333,0.446428571428571,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"23",0.0882352941176471,0.109552107406185,0,0.517857142857143,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
"24",0.117647058823529,0.0855067679102014,0.666666666666667,0.446428571428571,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
"25",0.0882352941176471,0.100088037856278,0.333333333333333,0.125,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
"26",0.0294117647058824,0.0618465940354352,0,0.303571428571429,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"27",0.0294117647058824,0.00968416419060196,1,0.357142857142857,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0
"28",0.117647058823529,0.00874876196764609,0.666666666666667,0.410714285714286,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
"29",0.0441176470588235,0.119126224276439,0.666666666666667,0.267857142857143,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0
"30",0.823529411764706,0.362385825905139,0.666666666666667,0.785714285714286,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"31",0.205882352941176,0.0915043468691537,0.666666666666667,0.303571428571429,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"32",0.294117647058824,0.207439198855508,0.333333333333333,0.142857142857143,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"33",0.205882352941176,0.309012875536481,0.333333333333333,0.196428571428571,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"34",0.117647058823529,0.055793991416309,1,0.678571428571429,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
